x,y
786270,6883722
786624,6883980
786295,6883282
786339,6883735
786218,6883433
786238,6883379
786259,6883282
788647,6885981
788214,6885905
788291,6885880
780115,6887979
780172,6887968
780130,6887996
783569,6887173
784024,6887317
784040,6887212
783524,6887194
783524,6887220
783955,6887319
783951,6887099
783982,6887077
783533,6886960
783569,6887250
783740,6886692
784139,6887129
783970,6887073
783766,6887272
783639,6887153
783538,6887193
783551,6887138
784005,6887311
784110,6886643
783814,6887425
783744,6886744
784033,6887297
784011,6887354
783545,6886982
783770,6887300
785893,6886597
783780,6887337
785895,6886620
785932,6886616
785463,6887417
785935,6887054
785950,6886607
781350,6889680
781505,6889382
780391,6888594
780572,6888505
780396,6888570
781328,6889672
781355,6889695
781546,6889337
789407,6888622
789726,6888518
789594,6888676
789358,6888849
789323,6888704
789696,6888591
789324,6888752
789597,6888733
789358,6888761
789349,6888596
789693,6888610
789340,6888579
789312,6888513
789693,6888468
783722,6887169
781359,6889562
781595,6889632
781947,6888682
780446,6888487
785392,6887241
784126,6887180
784259,6887071
783639,6887092
786053,6886846
786077,6886651
784276,6886998
786536,6883879
786084,6883604
781566,6883562
781835,6883539
781843,6883695
782888,6880383
782806,6880251
782445,6880071
785761,6886868
785519,6887069
788941,6889578
788848,6889982
787181,6889923
786544,6889839
781545,6889548
781536,6889754
781515,6889728
781530,6889905
781557,6889801
781515,6889688
781514,6889552
781680,6889923
781591,6889847
781593,6889757
781513,6889621
781511,6889836
781520,6889816
781669,6889608
781486,6889660
781627,6889685
781646,6889591
781496,6889612
781598,6889827
781547,6889610
781557,6889569
781643,6889660
781541,6889577
781693,6889910
781503,6889594
781550,6889589
781562,6889587
781478,6889722
781722,6889671
781506,6889772
781571,6889847
781558,6889898
781670,6889675
781637,6889632
781733,6889926
781712,6889967
781747,6889684
781626,6889708
781658,6889643
781686,6889669
781548,6889877
781539,6889852
781382,6889581
781465,6889622
781364,6889640
781317,6889611
781299,6889565
781359,6889583
781561,6889748
781586,6889568
781598,6889661
781678,6889661
781630,6889642
781444,6889589
781458,6889571
781432,6889707
781437,6889804
781460,6889757
781423,6889796
781235,6889560
781256,6889545
781429,6889737
781432,6889556
781442,6889665
781270,6889558
781411,6889683
781384,6889703
781410,6889548
781414,6889584
781413,6889742
781437,6889771
781390,6889670
781366,6889685
789322,6888839
789465,6888785
789520,6888856
789414,6888794
789646,6888748
789658,6888702
789384,6888780
789397,6888688
789491,6888879
789212,6888981
789442,6888675
789365,6888916
789539,6888794
789494,6888707
789502,6888763
789388,6888867
789434,6888981
789216,6889001
789438,6888733
789427,6888895
789292,6888949
789476,6888771
789308,6888959
789456,6888937
789372,6888822
789343,6888800
789355,6888702
789276,6888756
789476,6888750
789436,6888773
789466,6888870
789371,6888890
789422,6888698
789301,6888921
789465,6888698
789333,6888882
789261,6888989
789364,6888680
789260,6889011
789173,6889051
789396,6888976
789593,6888719
789420,6888818
789406,6888830
789470,6888923
789257,6888933
789448,6888825
786289,6888729
786176,6888977
786045,6889140
786243,6888684
789533,6889019
789283,6888714
789362,6888979
789493,6888647
789465,6888665
789440,6888847
789271,6888787
789506,6888962
789272,6888805
781591,6889528
781649,6889428
781727,6889390
781694,6889413
781740,6889373
781660,6889336
781682,6889319
781665,6889313
781744,6889352
781746,6889288
781495,6889504
781644,6889536
782561,6888909
783694,6889056
784958,6888945
786145,6889230
781695,6889365
781725,6889278
781574,6889528
781741,6889326
781509,6889475
781482,6889500
781653,6889405
781627,6889370
781622,6889400
781561,6889508
781622,6889425
781685,6889293
781578,6889386
781479,6889457
781586,6889431
781589,6889475
781545,6889498
781698,6889344
781496,6889423
781756,6889312
781534,6889353
781526,6889487
781693,6889384
781550,6889457
781554,6889331
781503,6889438
781527,6889444
781477,6889482
781654,6889382
781658,6889359
781706,6889280
781393,6889471
781245,6889519
781167,6889418
781074,6889485
781370,6889403
781366,6889424
781459,6889466
781428,6889426
781454,6889525
781304,6889510
781224,6889473
781252,6889504
780487,6888924
780500,6888791
781274,6889532
789464,6888623
789483,6888500
789458,6888585
789465,6888644
789703,6888408
789650,6888395
789644,6888641
789514,6888553
789503,6888618
789472,6888522
789483,6888547
789511,6888599
789514,6888495
789514,6888515
789402,6888398
789529,6888413
789510,6888581
789593,6888499
789450,6888329
784582,6888415
783920,6888342
785208,6887941
785651,6888133
787127,6888003
789377,6888517
789439,6888446
789479,6888610
789488,6888481
780672,6888564
780799,6888582
780717,6888578
780680,6888533
780645,6888343
780644,6888650
780654,6888397
780762,6888572
780661,6888420
780668,6888367
780672,6888334
782193,6888516
780633,6888412
780645,6888435
780707,6888293
780798,6888568
780789,6888049
780669,6888451
780751,6888596
780593,6888454
780566,6888437
780485,6888487
780581,6888367
780363,6888288
780512,6888425
780526,6888398
780563,6888550
780655,6888486
780516,6888389
780334,6888275
780408,6888368
780611,6888380
780278,6888281
780388,6888341
780389,6888395
780441,6888383
780446,6888448
780520,6888589
780472,6888358
780501,6888365
780346,6888173
780002,6888078
780586,6888472
780574,6888652
780524,6888447
780600,6888331
780373,6888261
780360,6888343
780389,6888487
780033,6887928
780591,6888567
780453,6888559
780288,6888611
780476,6888527
780375,6888507
780356,6888241
780546,6888422
780488,6888329
780617,6888422
780349,6888263
780631,6888386
780352,6888539
780431,6888475
780425,6888370
780384,6888410
780544,6888456
780565,6888622
780489,6888552
780608,6888397
780612,6888469
780580,6888494
780480,6888413
780455,6888395
780611,6888358
785787,6887259
785739,6887193
786118,6887215
786162,6887183
785797,6887117
785919,6887131
785835,6887178
785803,6887181
785757,6887182
785826,6887239
785689,6887109
785781,6887132
785997,6887147
785635,6887172
785566,6887311
785677,6887183
785714,6887189
785831,6887272
785940,6887169
785614,6887118
785563,6887097
785644,6887283
785701,6887175
785975,6887174
785752,6887118
785802,6887252
785902,6887210
786037,6887155
785823,6887087
785882,6887239
785865,6887077
785886,6887112
785838,6887228
785700,6887149
785672,6887205
786160,6887207
785915,6887196
785700,6887209
785672,6887293
785633,6887237
785595,6887145
785651,6887186
785767,6887106
785569,6887170
785743,6887241
785782,6887239
785728,6887200
785669,6887334
785854,6887293
785617,6887194
785670,6887316
785729,6887142
785928,6887184
785671,6887149
785474,6887260
785494,6887139
785308,6887285
785440,6887237
785392,6887080
785555,6887071
785647,6887203
785652,6887237
785531,6887096
785525,6887116
785285,6887326
785457,6887224
785512,6887299
785294,6887358
785470,6887396
785443,6887193
785499,6887408
785371,6887213
785502,6887438
785535,6887328
785459,6887582
784817,6887051
785518,6887274
785428,6887169
785466,6887294
785531,6887362
785405,6887142
785313,6887335
785374,6887081
785371,6887266
785367,6887119
783939,6887141
784187,6887100
784094,6887075
784229,6887119
784198,6887177
784158,6887195
784211,6887204
784133,6887161
784107,6887203
784153,6887096
785403,6887091
785490,6887457
785512,6887423
785523,6887391
784239,6887162
784299,6887134
784274,6887128
784252,6887123
784190,6887213
784312,6887157
783898,6887688
783932,6887336
783922,6887452
784172,6887222
784051,6887110
784086,6887155
784029,6887059
783974,6887198
784018,6887203
783923,6887191
783902,6887566
783947,6887480
783927,6887219
784210,6887114
784218,6887168
784070,6887058
784323,6887087
784007,6887084
784304,6887082
784350,6887057
784146,6887133
784115,6887131
784022,6887340
783993,6887154
784230,6887195
784016,6887300
784050,6887388
784110,6887116
784331,6887139
784268,6887163
784117,6887158
784179,6887188
784250,6887188
784221,6887057
784238,6887063
784267,6887607
784340,6887092
783967,6887321
784122,6887085
784279,6887076
783933,6887506
783907,6887227
783988,6887371
783967,6887540
783626,6887414
783794,6887083
783853,6887315
783471,6887745
783779,6887422
783768,6887130
783640,6887490
783589,6887161
783836,6887106
783703,6887329
784064,6887318
783622,6887209
783754,6887394
783565,6887719
783686,6887467
783813,6887252
783874,6887257
783880,6887285
783754,6887481
783900,6887395
783667,6887145
783795,6887430
783453,6887247
783422,6887273
783546,6887174
783435,6887216
783419,6887227
783548,6887211
783428,6887255
783692,6887286
783451,6887377
783647,6887411
783841,6887286
783593,6887552
783594,6887496
783585,6887615
783567,6887205
783651,6887552
783824,6887334
783831,6887408
783577,6887775
783878,6887513
783584,6887638
783671,6887578
783879,6887573
783602,6887631
783872,6887535
783845,6887625
783834,6887609
783833,6887585
783855,6887530
783521,6887150
783841,6887574
783862,6887127
783729,6887505
783721,6887471
783838,6887295
783877,6887357
783493,6887738
783488,6887203
783493,6887256
783511,6887268
783736,6887063
783836,6887371
783881,6887178
783674,6887198
783654,6887106
783835,6887559
783848,6887686
783696,6887210
783671,6887402
783800,6887498
783863,6887464
783672,6887563
783846,6887595
783841,6887269
783754,6887309
783464,6887212
783879,6887217
783846,6887400
783887,6887310
783662,6887535
783464,6887266
783331,6887297
783508,6887433
783796,6887181
783704,6887245
783865,6887061
782155,6887502
782448,6887180
783821,6887312
783877,6887086
783890,6887122
783595,6887565
783735,6887224
781751,6887503
781823,6887468
789488,6886190
789481,6886203
785905,6886882
785913,6887016
785933,6886998
785855,6886993
785750,6886939
785720,6886979
785653,6887003
785638,6887063
785628,6886794
